# k [h/Mpc] P(k) [h/Mpc]^3
5.77454e-01 1.97836e+02
6.15235e-01 1.72216e+02
6.55487e-01 1.49742e+02
6.98373e-01 1.30041e+02
7.44064e-01 1.12835e+02
7.92745e-01 9.78064e+01
8.44611e-01 8.46922e+01
8.99871e-01 7.32690e+01
9.58745e-01 6.33295e+01
1.02147e+00 5.46902e+01
1.08830e+00 4.71889e+01
1.15951e+00 4.06824e+01
1.23537e+00 3.50446e+01
1.31619e+00 3.01643e+01
1.40231e+00 2.59438e+01
1.49405e+00 2.22973e+01
1.59180e+00 1.91496e+01
1.69595e+00 1.64347e+01
1.80691e+00 1.40951e+01
1.92512e+00 1.20805e+01
2.05108e+00 1.03472e+01
2.18527e+00 8.85711e+00
2.32824e+00 7.57697e+00
2.48057e+00 6.47799e+00
2.64286e+00 5.53518e+00
2.81578e+00 4.72690e+00
3.00000e+00 4.03446e+00
